Date,Time,Location,Description
2/20/2018,2032,180 McCormick Road,FOUND PROPERTY
2/21/2018,129,1215 Lee Street,FOUND PROPERTY
2/21/2018,136,1210 Lee Street,ASSIST CITIZEN
2/21/2018,330,1215 Lee Street,LARCENY
2/21/2018,341,1215 Lee Street,ASSAULT
2/21/2018,1310,1215 Lee Street,ANNOYING PHONE CALL
2/21/2018,1531,1215 Lee Street,ASSIST AGENCY/WARRANT SERVICE
2/21/2018,1649,1219 Lee Street,HIT AND RUN
2/21/2018,2338,1826 University Avenue,HARASSMENT
2/22/2018,1213,295 Massie Road,HIT AND RUN
2/22/2018,1900,291 McCormick Road,SIMPLE ASSAULT
2/22/2018,1922,450 Whitehead Road,LARCENY
2/23/2018,114,25 Hancock Drive,"ASSIST CITIZEN, UNDERAGE POSESSION"
2/23/2018,201,571 McCormick Road,"ASSIST CITIZEN, UNDERAGE POSSESSION"
2/24/2018,23,514 Buckler Road,DRUGS/NARCOTICS VIOLATION
2/24/2018,24,1700 University Ave,HIT AND RUN
2/24/2018,101,1702 University Avenue,TRESPASSING
2/24/2018,223,430 Tree House Drive,"ASSIST CITIZEN, UNDERAGE POSSESSION"
2/24/2018,227,450 Tree House Drive,ASSAULT SIMPLE
2/24/2018,2200,295 Massie Road,ASSAULT SIMPLE
2/25/2018,32,800 Alderman Road,DRUNK IN PUBLIC
2/26/2018,841,164 NW McCormick Road,VANDALISM
2/26/2018,1041,202 Jeanette Lancaster Way,BURGLARY
2/26/2018,1345,180 McCormick Road,LOST PROPERTY
2/26/2018,1406,2450 W OLD IVY ROAD,PROPERTY DAMAGE
2/26/2018,2055,1826 University Avenue,SUSPICIOUS FLYER
2/26/2018,2208,1215 Lee Street,LOST PROPERTY
2/27/2018,544,1826 University Avenue,TRESPASS
2/27/2018,1836,1826 University Ave,SUSPICIOUS PERSON
2/27/2018,1957,1335 Lee Street,PROPERTY DAMAGE
2/27/2018,2119,1003 Main Street,VANDALISM
2/28/2018,1448,1540 Jefferson Park Ave,LOST PROPERTY
2/28/2018,1530,1516 Jefferson Park Ave,FOUND PROPERTY
3/1/2018,1754,1215 Lee Street,ASSIST AGENCY
3/1/2018,2258,1500 University Ave,ASSIST CITIZEN
3/1/2018,2035,1215 Lee Street,SIMPLE ASSAULT
3/2/2018,126,130 Culbreth Road,DIP
3/2/2018,1049,345 Crispell Drive,SUSPICIOUS PERSON
3/2/2018,1246,1001 Emmet Street North,PROPERTY DAMAGE
